longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-121.43,38.53,36.0,2430.0,426.0,1199.0,437.0,3.1667,81900.0
-121.3,37.94,40.0,452.0,109.0,412.0,97.0,1.3417,60800.0
-120.24,39.67,40.0,690.0,129.0,305.0,110.0,2.3625,62500.0
-121.27,38.87,16.0,2094.0,358.0,1092.0,357.0,4.4769,191400.0
-117.63,34.02,13.0,4864.0,729.0,2780.0,723.0,5.6168,175400.0
-121.94,37.76,4.0,6875.0,1439.0,2889.0,1307.0,4.6932,356100.0
-122.04,38.25,52.0,582.0,131.0,241.0,106.0,2.4,125000.0
-118.19,33.98,36.0,4179.0,,4582.0,1196.0,2.0087,172100.0
-118.16,33.91,41.0,1806.0,408.0,1146.0,374.0,2.9643,162200.0
-118.89,34.33,23.0,366.0,62.0,265.0,66.0,3.125,375000.0
-121.94,36.97,31.0,1738.0,422.0,746.0,355.0,2.5172,330800.0
-117.95,33.99,24.0,1219.0,177.0,610.0,185.0,6.7978,325000.0
-117.66,34.08,33.0,3659.0,590.0,1773.0,615.0,3.9227,157200.0
-122.38,40.58,36.0,1808.0,384.0,807.0,383.0,1.8375,74800.0
-121.97,38.03,17.0,3685.0,685.0,1939.0,649.0,3.7043,139800.0
-117.59,34.16,10.0,9467.0,1181.0,3819.0,1122.0,7.8252,361400.0
-122.1,37.68,37.0,2116.0,503.0,1109.0,448.0,2.535,174000.0
-118.25,33.84,19.0,1731.0,420.0,1032.0,364.0,3.8125,208100.0
-116.93,32.79,23.0,5759.0,1258.0,3108.0,1202.0,3.0927,140600.0
-121.34,38.55,11.0,2838.0,498.0,1701.0,504.0,4.1447,114000.0
-120.47,35.74,9.0,4267.0,785.0,2065.0,691.0,3.7303,162700.0
-118.05,34.04,33.0,1348.0,,1098.0,257.0,4.2917,161200.0
-122.45,37.64,19.0,6326.0,1025.0,3444.0,984.0,6.2498,353300.0
-118.43,34.3,28.0,271.0,61.0,246.0,62.0,1.7062,164600.0
-117.0,32.73,17.0,6050.0,1143.0,3424.0,1131.0,3.7647,127600.0
-117.14,32.92,6.0,3069.0,750.0,1541.0,736.0,3.814,132500.0
-117.22,32.73,38.0,3966.0,768.0,1640.0,729.0,3.8409,291400.0
-122.23,37.46,33.0,2643.0,464.0,1015.0,427.0,4.2232,363700.0
-119.45,35.16,34.0,3437.0,696.0,1783.0,608.0,2.3912,52900.0
-121.77,37.68,36.0,1687.0,372.0,950.0,372.0,3.5532,158400.0
-118.38,34.28,22.0,4428.0,825.0,3152.0,836.0,4.7932,166300.0
-118.12,33.89,29.0,2666.0,848.0,2030.0,781.0,2.5432,180900.0
-118.23,33.89,35.0,1255.0,344.0,1782.0,343.0,2.1949,95100.0
-122.08,37.03,36.0,4682.0,899.0,2143.0,832.0,4.5096,203700.0
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0
-121.09,37.33,40.0,524.0,112.0,329.0,96.0,1.7188,112500.0
-118.43,34.23,35.0,1225.0,228.0,720.0,231.0,3.4013,176500.0
-118.37,34.08,52.0,1234.0,223.0,543.0,213.0,6.0338,423700.0
-120.09,36.19,12.0,1923.0,559.0,2809.0,535.0,1.4191,55100.0
-121.85,37.44,8.0,426.0,61.0,241.0,55.0,7.309,367900.0
-122.01,37.39,26.0,2500.0,962.0,2374.0,879.0,3.5586,222200.0
-121.61,39.14,44.0,2035.0,476.0,1030.0,453.0,1.4661,65200.0
-122.47,37.78,52.0,2635.0,587.0,1302.0,577.0,3.7292,416700.0
-118.17,34.04,44.0,691.0,155.0,613.0,142.0,1.9667,133900.0
-117.03,32.63,13.0,2087.0,313.0,1165.0,330.0,5.7789,227700.0
-122.0,37.97,27.0,2491.0,428.0,1171.0,431.0,5.1021,202800.0
-116.97,32.76,26.0,2460.0,313.0,838.0,299.0,5.9878,270700.0
-117.62,34.11,17.0,1869.0,311.0,831.0,262.0,6.148,243900.0
-118.22,33.91,27.0,500.0,159.0,732.0,162.0,2.7426,103100.0
-117.96,34.0,33.0,5462.0,952.0,3527.0,914.0,4.4038,186700.0
-122.07,37.86,17.0,1102.0,224.0,317.0,208.0,3.5893,206300.0
-118.13,33.83,45.0,3087.0,574.0,1474.0,567.0,5.5196,227600.0
-119.78,36.33,16.0,1006.0,212.0,515.0,200.0,3.2386,112500.0
-121.25,38.68,13.0,503.0,70.0,267.0,77.0,6.1943,276100.0
-122.02,36.98,35.0,1053.0,263.0,552.0,237.0,2.7125,217500.0
-122.28,37.89,52.0,1225.0,169.0,412.0,168.0,5.7912,327100.0
-121.42,38.47,11.0,5665.0,1507.0,3422.0,1299.0,2.3343,97800.0
-118.95,35.38,30.0,2594.0,478.0,1419.0,480.0,3.725,83100.0
-118.31,33.8,31.0,4464.0,991.0,2420.0,947.0,4.0425,277900.0
-118.11,33.94,36.0,1949.0,319.0,909.0,325.0,5.1587,296600.0
-121.83,37.99,18.0,2741.0,449.0,1507.0,460.0,4.7566,142500.0
-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,268500.0
-115.62,33.04,17.0,1009.0,231.0,745.0,217.0,2.0463,61200.0
-117.88,33.73,32.0,1947.0,355.0,1786.0,332.0,4.5726,177500.0
-121.42,37.74,19.0,1393.0,367.0,915.0,355.0,1.1957,103100.0
-123.59,38.8,17.0,5202.0,1037.0,1742.0,803.0,3.1201,176100.0
-121.37,36.89,21.0,2471.0,473.0,1753.0,451.0,4.025,293800.0
-118.03,33.98,46.0,1974.0,465.0,880.0,441.0,2.7578,236800.0
-115.37,32.81,32.0,741.0,191.0,623.0,169.0,1.7604,68600.0
-118.21,33.96,48.0,284.0,104.0,422.0,119.0,1.2826,145500.0
-122.06,37.86,16.0,5187.0,1014.0,1512.0,986.0,4.4551,252400.0
-118.34,33.95,33.0,1923.0,459.0,1412.0,361.0,5.4359,194100.0
-118.42,34.05,38.0,4888.0,1126.0,1698.0,937.0,4.8304,500001.0
-118.37,34.16,10.0,2606.0,748.0,1373.0,680.0,3.6128,225000.0
-118.97,37.64,13.0,1907.0,544.0,575.0,234.0,3.0685,162500.0
-116.5,33.95,10.0,7249.0,1882.0,4274.0,1621.0,1.6983,66600.0
-118.16,33.92,36.0,2062.0,351.0,1134.0,358.0,4.4881,218900.0
-122.62,37.85,30.0,833.0,164.0,358.0,143.0,6.8198,493800.0
-116.96,32.78,26.0,2807.0,630.0,1785.0,580.0,2.1638,132800.0
-117.9,33.63,28.0,2370.0,352.0,832.0,347.0,7.1148,500001.0
